url,clicks,impressions,avg_position,phase1_action,gsc_evidence_class,revised_decision,protected,confidence,rationale,status
/custom-ai-app-development,0,14,10.2,KEEP,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
/ai-chatbot-development,0,118,68.6,KEEP,STRATEGIC-OR-TOP,KEEP,yes,high,"Top-impression, best-position, or core conversion/legal page.",PROPOSED - NOT EXECUTED
/ai-receptionist,0,146,72.5,MERGE,STRATEGIC-OR-TOP,KEEP,yes,high,"Top-impression, best-position, or core conversion/legal page.",PROPOSED - NOT EXECUTED
/ai-business-system,0,11,4.5,KEEP,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
/done-for-you-ai-automation,0,20,51,MERGE,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
/ai-receptionist-for-contractors,0,16,71.9,KEEP,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
/ai-lead-follow-up-agent,0,10,79.6,MERGE,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
/ai-chatbot-for-small-business,0,3,29.7,MERGE,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/remote-ai-development,0,0,,KEEP,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/ai-integration-services,0,14,48.4,MERGE,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
/ai-automation-canada,0,2,10.5,MERGE,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/services/ai-chatbot-for-website,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-lead-capture-form,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-quote-generator,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-customer-support-agent,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-receptionist-setup,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-email-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-sms-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-calendar-booking-agent,0,1,8,MERGE,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/services/ai-crm-automation,0,3,7.3,MERGE,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/services/ai-invoice-reminder-system,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-review-request-system,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-intake-form-builder,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-website-assistant,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-sales-assistant,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-admin-assistant,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-document-generator,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-proposal-generator,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-voice-agent,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-workflow-automation,0,10,27.3,MERGE,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
/services/custom-business-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-review-engine,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-customer-reactivation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-operations-dashboard,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-business-analyst,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/services/ai-receptionist-os,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/landscaping-ai-automation,0,15,55.2,REWRITE,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
/industries/lawn-care-ai-automation,0,0,,REWRITE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/plumber-ai-automation,0,0,,REWRITE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/electrician-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/hvac-ai-automation,0,0,,REWRITE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/roofing-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/cleaning-business-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/moving-company-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/pest-control-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/contractor-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/real-estate-agent-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/dental-clinic-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/salon-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/restaurant-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/auto-detailing-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/fence-company-ai-automation,0,0,,REWRITE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/deck-builder-ai-automation,0,0,,REWRITE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/painter-ai-automation,0,2,95.5,MERGE,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/industries/clinic-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/mortgage-broker-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/insurance-broker-ai-automation,0,1,94,MERGE,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/industries/physiotherapy-ai-automation,0,12,69.4,MERGE,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
/industries/chiropractor-ai-automation,0,3,36,MERGE,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/industries/barbershop-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/gym-ai-automation,0,8,45.6,MERGE,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
/industries/personal-trainer-ai-automation,0,1,69,MERGE,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/industries/food-truck-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/wedding-planner-ai-automation,0,1,84,MERGE,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/industries/photographer-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/videographer-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/immigration-consultant-ai-automation,0,2,6,MERGE,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/industries/law-firm-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/accountant-ai-automation,0,1,4,MERGE,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/industries/bookkeeper-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/consultant-ai-automation,0,2,3,MERGE,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/industries/agency-ai-automation,0,2,36.5,MERGE,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/industries/ecommerce-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/retail-store-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/industries/coach-ai-automation,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/creators/ai-tools-for-content-creators,0,5,88.4,PAUSE-NOINDEX,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
/creators/ai-video-editing-automation,0,0,,PAUSE-NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/creators/ai-tiktok-content-system,0,2,7,PAUSE-NOINDEX,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/creators/ai-youtube-shorts-automation,0,1,42,PAUSE-NOINDEX,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/creators/ai-youtube-video-workflow,0,0,,PAUSE-NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/creators/ai-podcast-clipping-system,0,0,,PAUSE-NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/creators/ai-text-to-speech-for-creators,0,0,,PAUSE-NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/creators/ai-voice-cloning-workflow,0,0,,PAUSE-NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/creators/ai-avatar-video-creation,0,0,,PAUSE-NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/creators/ai-faceless-channel-automation,0,0,,PAUSE-NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/creators/ai-script-writing-system,0,0,,PAUSE-NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/creators/ai-caption-subtitle-automation,0,0,,PAUSE-NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/creators/ai-content-repurposing-system,0,0,,PAUSE-NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/creators/ai-social-media-scheduling-automation,0,0,,PAUSE-NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/creators/ai-newsletter-automation,0,0,,PAUSE-NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/creators/ai-fan-message-automation,0,0,,PAUSE-NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/creators/ai-creator-crm,0,7,6.9,PAUSE-NOINDEX,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
/creators/ai-patreon-creator-automation,0,0,,PAUSE-NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/creators/ai-course-creator-automation,0,2,10,PAUSE-NOINDEX,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/creators/ai-coaching-content-system,0,1,11,PAUSE-NOINDEX,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/locations/ai-automation-agency-surrey-bc,0,5,17.2,MERGE,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
/locations/ai-automation-delta-bc,0,3,4.3,NOINDEX,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/locations/ai-automation-vancouver,0,1,90,NOINDEX,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/locations/ai-automation-langley-bc,0,0,,NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/locations/ai-automation-abbotsford,0,0,,NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/locations/ai-receptionist-surrey-bc,0,6,18.7,MERGE,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
/locations/ai-chatbot-developer-vancouver,0,15,54.1,MERGE,STRATEGIC-OR-TOP,KEEP,yes,high,"Top-impression, best-position, or core conversion/legal page.",PROPOSED - NOT EXECUTED
/locations/custom-ai-apps-surrey,0,1,2,REWRITE,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/locations/ai-automation-burnaby-bc,0,4,13.3,NOINDEX,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/locations/ai-automation-richmond-bc,0,0,,NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/locations/ai-automation-coquitlam-bc,0,2,41.5,NOINDEX,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/locations/ai-automation-new-westminster-bc,0,2,10,NOINDEX,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/locations/ai-automation-white-rock-bc,0,14,59.9,NOINDEX,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
/locations/ai-automation-maple-ridge-bc,0,1,4,NOINDEX,TRACE-IMPR,DEFER,no,low,"1-4 impressions. Below any actionable threshold.",PROPOSED - NOT EXECUTED
/locations/ai-automation-chilliwack-bc,0,7,6.9,NOINDEX,LOW-IMPR,DEFER,no,medium,"5-24 impressions. Real but weak signal; revisit at 90 days.",PROPOSED - NOT EXECUTED
/locations/ai-automation-victoria-bc,0,0,,NOINDEX,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/locations/ai-automation-calgary-ab,0,4,76.8,MERGE,OUT-OF-SERVICE-AREA,NOINDEX-PROPOSED,no,high,"Outside any realistic service area. Assignment forbids targeting these as local service pages. Noindex proposed - reversible, not deleted.",PROPOSED - NOT EXECUTED
/locations/ai-automation-edmonton-ab,0,1,7,MERGE,OUT-OF-SERVICE-AREA,NOINDEX-PROPOSED,no,high,"Outside any realistic service area. Assignment forbids targeting these as local service pages. Noindex proposed - reversible, not deleted.",PROPOSED - NOT EXECUTED
/locations/ai-automation-toronto-on,0,1,84,MERGE,OUT-OF-SERVICE-AREA,NOINDEX-PROPOSED,no,high,"Outside any realistic service area. Assignment forbids targeting these as local service pages. Noindex proposed - reversible, not deleted.",PROPOSED - NOT EXECUTED
/resources/how-much-does-ai-automation-cost,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/resources/what-is-an-ai-receptionist,0,0,,KEEP,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/resources/best-ai-tools-for-small-business,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/resources/ai-automation-examples-for-small-business,0,0,,KEEP,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/resources/ai-receptionist-cost,0,0,,MERGE,NO-DATA,DEFER,no,low,"Not present in retrieved dataset. NOT proof of zero lifetime impressions - 46-day window at avg position 63.9.",PROPOSED - NOT EXECUTED
/resources/is-ai-receptionist-worth-it,0,25,42.4,MERGE,STRATEGIC-OR-TOP,KEEP,yes,high,"Top-impression, best-position, or core conversion/legal page.",PROPOSED - NOT EXECUTED
